EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;FROM_MEASURE;TO_MEASURE;STRUCTURE_TYPE;STRUCTURE_NAME_ENGLISH;STRUCTURE_NAME_FRENCH;AGENCY_NAME;NATIONAL_UUID;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
5858;1500733360;75.772;98.219;Bridge;;;MINISTRY OF TRANSPORTATION;1252529263f249e08ec56b91800b4736;20171122110840;20191011150817;220780
9933;1500506459;604.000;655.005;Bridge;;;;2966c11c86a14d248746e4478abd6eaf;20090514130151;20191011150817;220826
12652;1509737403;0.000;32.856;Bridge;;;;7ec9fcbc6d2840f89719370aed02ebcf;20160630151409;20191011150817;220879
9866;1506089410;70.498;148.192;Bridge;;;ONTARIO ROAD NETWORK;06c3414948bf4fe393433685e690eb04;20171101105404;20191011150817;220994
9869;1506089423;514.540;536.681;Bridge;;;ONTARIO ROAD NETWORK;796f35f4a2a745fea80d5f9425a108d5;20171101105404;20191011150817;220995
12746;1509821280;114.075;158.823;Bridge;;;;57b4e3fa5d3a40f5a185db4a143dbc21;20170613140217;20191011150817;220999
12773;1509829525;67.499;183.471;Bridge;;;;9ed58b16e437448bbb6304aad846e36c;20140722103622;20191011150817;221003
10233;1500370140;278.345;320.472;Bridge;;;;ecef305cd8b143ee8fd8f1bb52293786;20220110142010;20220113091425;253654
4136;1500314105;223.029;245.641;Bridge;;;;d38dfa4c294d447c95b4cf7e0a6c6b8f;20140929101732;20220113091425;253657
8799;1500630160;575.122;594.748;Bridge;;;;d3b3811df34043e0879278327c94cca4;20220105085619;20220113091425;253658
8776;1500505029;555.872;579.176;Bridge;;;;a683b5fa9d1247b09788e7a981eefaf2;20220106140908;20220113091425;253659
6065562;1500654735;1057.814;1055.156;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;e9bd872a4c9b4b669698b52415fdb94a;20220106150000;20220113091425;253660
8750;1500368092;3105.692;3113.502;Bridge;;;;1058d02711974975a455052ed4622e2d;20220106090321;20220113091425;253661
3174;1500535597;81.683;104.179;Bridge;;;;9fa38e24a1bb4a8c9ffd395d4fd7542f;20160112083004;20210913104925;252914
1353;1500383790;126.586;142.464;Bridge;;;ONTARIO ROAD NETWORK;423b8528b2304c9397f302ae8394d2ab;20181122111746;20191011150817;220383
12839;1500414449;1559.508;1591.626;Bridge;;;;5e0371623c9943e7acf84e525d8c3fb2;20220111140547;20220113091425;253662
12845;1500434990;524.719;548.940;Dam;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;ce58f827bad64868ae1b728ea62cfb72;20220111140640;20220113091425;253663
3615;1500370679;427.234;407.205;Bridge;;;;b76fbdd07e1e4d34914034b7e9eadb0b;20120227164523;20220615160425;254734
10830;1500703499;197.806;265.515;Bridge;;;;e6859962b5b1464396bcbd4e68a6f56b;20120730105407;20220615160425;254736
9507;1500390228;153.542;202.550;Bridge;;;;36e54d1a37f7486b950f396a46adc840;20120227164534;20220615160425;254737
6759;1500462200;136.151;162.407;Bridge;;;;af5fbc605bf04938918e9add79eb340c;20120821124914;20220615160425;254738
2677;1500725227;42.208;140.218;Bridge;;;;84c72985b2bc4b54a1bcdf6308442952;20220613133926;20220615160425;254739
3605687;1510673692;1853.489;1918.028;Bridge;;;;5bf8e1eac89840458fc5a362eccc3081;20120821105552;20220615160425;254740
1421;1500703551;545.005;556.695;Bridge;;;;45f8ec36972446558dae60143a7628ae;20180328123636;20210913104925;252915
6746;1500441243;1476.385;1495.254;Bridge;;;;8ca9aa5db8c74854aae3d642e37fbcf8;20120821095014;20220615160425;254742
6721;1500397313;586.153;611.615;Bridge;;;;115a40a10cf04798af6949cbe8ce8519;20120821101337;20220615160425;254743
6690;1500323276;127.420;173.531;Bridge;;;;db6ff2a4422b436daf3d21b7fd5b7a61;20120723145551;20220615160425;254744
6749;1500447558;77.672;101.929;Bridge;;;;7e05fe0ed324444f866e824b758fbb67;20150122151014;20220615160425;254745
10038;1500341671;178.518;192.938;Bridge;Whitestone Lake Bridge;PONT WHITESTONE LAKE ;MINISTRY OF TRANSPORTATION;2d0501131de74abc964f1d33edf51d7d;20181022112841;20220615160425;254747
10804;1500635189;36.827;67.657;Bridge;;;;a58b71c751cb413c86d5eba723a0a13d;20120731143809;20220615160425;254748
2553378;1500479861;24.669;51.198;Bridge;;;;c887ca1053de4ba28ba47621cad70f29;20110603114009;20220615160425;254749
6693;1500330389;2032.066;2045.174;Bridge;;;;03155475f1524af6b0b6be269314aa58;20150122142300;20220615160425;254750
6058622;1500540043;1390.054;1397.852;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;09e7ab2bea884ad9bc4484058aaa9d48;20201117124055;20210913104925;252917
6795;1500568618;424.536;485.894;Bridge;;;;81e55cd1df2649ea8ce5ebc209414149;20140509141913;20220615160425;254751
10136;1500602264;170.847;184.782;Bridge;;;;a05b6b6ee09348b9904e4ad5b60eb97c;20171128112951;20220615160425;254752
6058531;1500369592;549.755;555.263;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;56b5f18ccfe24c76aa6c41e2064e6552;20141114142315;20210913104925;252919
9853;1500606980;339.040;360.362;Bridge;;;ONTARIO ROAD NETWORK;4f71378d627a42cbb2d8e388c779ba27;20171101105359;20191011150817;220425
3973;1500384861;1563.686;1595.762;Bridge;;;;caaec67048f344b795d04de1da094f36;20210907163644;20210913104925;252920
6058820;1500581978;3315.790;3325.065;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;ee949d0e491949c7a15b47464dcde6bd;20141117085805;20210913104925;252921
6058550;1500512499;1080.856;1089.155;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;b9f5965eeff1425a92c9134e4f580886;20141114142544;20210913104925;252923
5774536;5774533;0.000;66.975;Bridge;;;;078aa0cce2ad499c9c72786b23e58ace;20130827091045;20191011150817;220463
6058585;1500483377;492.774;501.055;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;d4fc144e64a84298a23eff68f589e6bb;20141114142656;20210913104925;252924
6058450;1500663551;1261.639;1269.434;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;f7c4b5a1596b49c3a6d72f66b6d2455a;20190607110700;20210913104925;252925
6058627;1500581978;2820.340;2827.621;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;170069672c114f328034dc31b6fadecf;20141114150529;20210913104925;252926
4891;1500585766;242.943;229.406;Bridge;;;;fc1cbacc5fdf41cdb6192c4c2e813958;20120605145904;20191011150817;220521
9167;1507660103;3574.771;3593.470;Bridge;;;;1c7a7c75e16d4b149b95aa1b8f0cff01;20160506114040;20191011150817;220618
11777;1509392637;161.484;107.408;Bridge;;;MINISTRY OF TRANSPORTATION;85abad79444a4249a52ce79d2ba6af07;20171122110840;20191011150817;220630
3753;7126774;1510.982;1526.989;Bridge;;;;be3ca988513e4373ace763dc90bce9f2;20181009115306;20191011150817;220696
1466;6565062;565.564;589.723;Bridge;;;ONTARIO ROAD NETWORK;47b6602ecd7a4428a882474b9d772797;20171101105401;20191011150817;220765
8498;4153008;14.271;133.964;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;9a904886c5e64418b88ee046264e2da0;20150529133924;20210804133425;252574
12770;6035839;279.597;308.263;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;fd7124c277564d70818c5fb564cf1efd;20150526094617;20210804133425;252575
5412;1500605305;0.000;72.042;Bridge;;;;bc4dc98b4f02408d97380169e625ce7a;20100920133350;20210804133425;252577
12736;1509821217;360.699;530.367;Bridge;;;;2a195e02ee664253a809aa6f56974e2d;20100915110716;20210804133425;252578
5250;1500734373;19.929;0.000;Bridge;;;;afe56480df054ffeaa08faafbc8b5056;20150303094530;20210804133425;252579
8062;1500500777;196.476;243.063;Bridge;;;;1ec3436a2e9c4f11a0de5c11ddac793f;20130515114603;20210804133425;252580
5627096;1500614736;0.000;6.847;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;1ec3436a2e9c4f11a0de5c11ddac793f;20130515114621;20210804133425;252581
5627097;1500533224;0.000;6.274;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;1ec3436a2e9c4f11a0de5c11ddac793f;20130515114640;20210804133425;252582
11281;1500444415;985.495;993.494;Bridge;;;;150701189d3e4ba69ca514416cf07954;20211210183837;20211217101925;253575
11154;1500440864;101.840;112.044;Bridge;;;;7463d22cd9794ddbbf16c68136429fc2;20211212230408;20211217101925;253576
6332939;1507524337;22.468;103.654;Bridge;;;MINISTRY OF TRANSPORTATION;f53ba56239b24912a55aa85c02a05ee9;20171122110839;20191011150817;221056
6332940;1507524396;898.524;980.106;Bridge;;;MINISTRY OF TRANSPORTATION;3625a3e64ff94eea99bf7802165bcf25;20171122110839;20191011150817;221057
7627;1500541507;535.907;556.785;Bridge;;;;0928a22765b749ff944349d8e396063a;20211210183813;20211217101925;253577
11270;1500708840;499.156;520.420;Bridge;;;;0587aebc0bc3472f97645a579735131c;20211213154936;20211217101925;253578
7737;1507338479;776.008;796.482;Bridge;;;;480f63a424de4772b62aae6296f533b7;20211210183857;20211217101925;253579
11225;1507372897;1115.604;1154.042;Bridge;;;;4a1bf2e526764f1bb68ff55ab4ccdcfd;20211210183846;20211217101925;253580
7858;1500320729;169.601;129.495;Bridge;;;ONTARIO ROAD NETWORK;e29b8e342a7f4455842c238f5ae5f828;20211214160108;20211217101925;253581
7633;1507374358;1228.914;1245.057;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;e589c5eef32649c195a9d3d16949c04a;20160308123953;20211217101925;253582
7626;1500541507;296.735;313.503;Bridge;;;;a9b8ec826cc245e7b438ea5b4f7d3838;20211210183813;20211217101925;253583
2201;1500435933;281.997;335.533;Bridge;NORTH TALBOT ROAD;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;6c32f45eb8b14113aef9f8fe4e008e57;20130912140237;20211217101925;253584
7629;1500541507;603.913;621.635;Bridge;;;;d83122ebdcb94424b14e0ddefe232937;20211210183813;20211217101925;253585
7502;1500572180;1449.616;1467.729;Bridge;;;;bbe97e30d348472bacbf45445baa0fc1;20211210183710;20211217101925;253586
7604;1500511768;432.585;487.254;Bridge;;;;82379c3ddeab477586ce1cd753e1eb8b;20211210183932;20211217101925;253587
11198;1500399249;217.573;232.676;Bridge;;;;78205ca703834d72acf25bc3779bca12;20211210183939;20211217101925;253588
5668;1500477551;190.791;202.875;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;7a6ca951cd9a4bd393d898786f13431e;20160916150835;20211217101925;253589
11280;1500709886;867.711;878.901;Bridge;;;;b3900d809d1845c8943ebfcea9f5248a;20211210183828;20211217101925;253590
7654;1500390951;211.067;227.189;Bridge;;;;4689811e6b26438188f818261268fbae;20211210183759;20211217101925;253591
7585;1500538454;100.968;124.151;Bridge;;;;ec3e3281f2f440a58710d4a70d9db993;20211210183742;20211217101925;253592
7687;1500680338;148.323;194.477;Bridge;;;;36614c5da2104bcd8ed32c2694a573fb;20211210183828;20211217101925;253594
7799;7072257;3127.613;3179.734;Bridge;;;;2b253aeb049a46b98f18c8d841d04892;20211210183712;20211217101925;253595
6410204;1500512112;732.939;766.994;Bridge;;;MINISTRY OF TRANSPORTATION;0fb65cab94334ac69f5635210ba83f43;20160615154223;20191011150817;221078
4511;1500395139;4.184;32.297;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;e76348bac5d74c51be14439f007b8865;20130614161245;20211217101925;253597
7641;1500565446;17.039;44.473;Bridge;;;;046caeaa4eca4465bdfe7d92a67c6b9c;20211210183729;20211217101925;253598
6412338;1500333382;390.902;305.563;Bridge;;;MINISTRY OF TRANSPORTATION;c4dce3aebcb34859b4263585d7c270a6;20160616132020;20191011150817;221081
6412466;1500564066;1469.938;1562.958;Bridge;;;MINISTRY OF TRANSPORTATION;4eb0af4bb9ae424a9bce0cb3a95f3555;20160616132040;20191011150817;221082
11201;1500638715;369.209;386.933;Bridge;;;;0efef2b34a464119abec27f2a2cb754b;20211210183731;20211217101925;253599
7588;1500476243;204.645;212.480;Bridge;;;;b5eb203250ab472bb7d6a30957bca11d;20211213165249;20211217101925;253600
7628;1500541507;661.197;670.685;Bridge;;;;1fe19bb29d124cd6894229a47ed763cd;20211210183813;20211217101925;253601
11242;7702876;149.775;157.657;Bridge;;;;0361e6a037504686842a0588d162d441;20211213165405;20211217101925;253605
7631;1500549921;1762.776;1777.003;Bridge;;;;02153727383a4b4daf172c61e99511a6;20211210183855;20211217101925;253606
12140;1500519554;1971.372;1994.321;Bridge;;;;0443b043c3294ba989e8df4d776200f3;20211210183812;20211217101925;253607
1301;1500644082;205.248;224.677;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;3f033dad8ef34aebad79369341994323;20130624132138;20211217101925;253608
7591;1507371806;355.356;378.723;Bridge;;;;c2b24242c9334a5e80ee054a1dd331f7;20211210183749;20211217101925;253611
6775124;6774942;160.519;213.483;Bridge;;;ONTARIO ROAD NETWORK;cacd9722a3334c419329379965bef0f7;20171019114538;20191011150817;221101
6780098;6780095;672.242;652.241;Bridge;;;ONTARIO ROAD NETWORK;138b6bf4b5b14f81a584addc33c093b5;20171025130111;20191011150817;221103
6780103;6780097;369.000;376.000;Bridge;;;ONTARIO ROAD NETWORK;5cbcfc77ef0b4ccdbdc61a275eff57f1;20171025125639;20191011150817;221104
6780399;6780397;244.000;259.000;Bridge;;;ONTARIO ROAD NETWORK;aabb95b669c548b89b4804dd70d699cd;20171025144910;20191011150817;221105
6943574;6943721;2286.865;2276.865;Bridge;;;ONTARIO ROAD NETWORK;ad53c332d9dc488b8303e06fa2114350;20180906101607;20191011150817;221109
224;1500477084;69.918;88.807;Bridge;;;;0b231c6da81e44bd8ab5a5515d027422;20120516103049;20191011150817;221120
4616;1500477516;493.000;577.000;Bridge;;;ONTARIO ROAD NETWORK;ed29df586d194d39b36fbc7f13e4a0bd;20171101105402;20191011150817;221134
3933182;1500545193;353.793;389.276;Bridge;;;;d6489f709eb4480e95e91960c016cfef;20120417100342;20191011150817;221165
6697;1500337908;275.602;291.891;Bridge;;;;89420f1b768847e0b4478ebdd28ee093;20120820151747;20191011150817;221188
4802;1500338884;1130.464;1226.394;Bridge;;;MINISTRY OF TRANSPORTATION;f769703250964f0f8b9348fb799bc8c7;20171122110838;20191011150817;221189
6709;1500363540;26.836;86.826;Bridge;;;;f2d9d21831a44f228649a671b91e2b96;20120709151650;20210421143954;238314
3304735;1510574889;300.264;374.726;Bridge;;;CITY OF LONDON;599c70d09b314b2e8773dacdfd1d6747;20191001135346;20191011150817;221362
7016630;7016632;1164.000;1173.000;Bridge;;;ONTARIO ROAD NETWORK;595da4a60eae448a82d940b2088418b0;20180411124320;20191011150817;221364
7032312;7022527;3643.000;3653.000;Bridge;;;ONTARIO ROAD NETWORK;edaaf7c9612c4512ae11c80f380603c6;20180422134704;20191011150817;221365
7168743;7168717;474.361;483.982;Bridge;;;ONTARIO ROAD NETWORK;a5a307af6e06469c854eefb7935240fa;20181213170046;20191011150817;221376
7176402;7176377;431.510;465.639;Bridge;;;ONTARIO ROAD NETWORK;41bc046d6b4743aaa0c7a50940ff0b9a;20181219162510;20191011150817;221377
2661;1500635261;1443.200;1450.811;Bridge;;;;84138d46012746a78b6dcbf6e3fb23a5;20121212152128;20191011150817;221424
3554688;1507678104;61.118;68.337;Bridge;;;;4d15c8188cf94664ae65c0bfbe16cd2e;20160510151239;20191011150817;221453
608;1500480145;908.182;924.588;Bridge;;;;1e26f507760a4b19923ae564908badcf;20090514130151;20220316123925;254234
6947;1500386167;68.895;232.110;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;306e9ae1adf2458c87999688b8772ccc;20150312131957;20220316123925;254235
2494;1500710452;540.122;601.438;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;7bee56cbdb73489492970cf1631659c2;20220314103417;20220316123925;254236
4218826;1510240981;541.549;549.548;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;ba6a78cb64514fd885dcd7b23d10bab9;20110831105613;20220316123925;254237
7571655;7571646;29.219;45.463;Bridge;;;COUNTY OF LANARK;a5920071768d42759496ff3a4fcaf6d5;20210111161001;20220316123925;254238
2666;1500546924;138.105;165.912;Bridge;;;;843ddec4edb44fa79c4613649ee9811a;20090514130151;20220316123925;254239
4200;1500573143;252.860;273.664;Bridge;;;;d723589bf4ec4d99ad015d8f2f342383;20090514130151;20220316123925;254240
1303;1500710452;319.816;436.191;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;3f0fbc59e8874088bac9da36d1497efc;20220314103416;20220316123925;254241
3737;1500441137;99.489;121.467;Bridge;;;;bd80d134018a4f28b63dc728655c141c;20151021143804;20220316123925;254242
4704061;1500564945;62.798;67.617;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;f06f8e1b21e04e54b045ca448a99b15c;20151022085453;20220316123925;254243
485;4667960;1647.867;1662.687;Bridge;;;;187073617b33475c9a11b98e68fcf8e3;20220309090028;20220316123925;254244
9597;1500489706;1163.732;1145.625;Bridge;;;;fd6e05f18d5e44ecbeba87c2e8b66024;20090514130151;20220316123925;254245
9903;1500377957;899.688;913.285;Bridge;;;;f093fa944a8546fc80e7f410a0fdbf78;20090514130151;20220316123925;254247
1537;1500416095;12.046;23.704;Bridge;;;;4b37e4f7630c4509b94421b5641b5804;20090514130151;20220316123925;254248
6277401;1500380851;0.000;22.892;Bridge;;;ONTARIO ROAD NETWORK;8193b62e510d48d0b6c3afc42d75a0c0;20171101105402;20191011150817;221540
3199911;1512073320;117.072;149.468;Bridge;;;;8c5870e4c80c4adab10d9d25338d0abd;20151222093433;20220316123925;254249
2692;1500612511;177.257;210.525;Bridge;;;;85c3412c7a254969aba43cc244943139;20151023093310;20220316123925;254250
4834;1500358416;287.940;321.736;Bridge;;;;f8c77cdd928948d7b3bd833fd0da0736;20151006155045;20220316123925;254251
4285;1500563325;95.879;133.402;Bridge;;;;dbc97b0a5cb24e42a2cbcb50f2be4c0f;20150929130506;20220316123925;254252
1374;4667960;208.398;229.092;Bridge;;;;439540e3c2ff45af834d1558db3f0d91;20220309090027;20220316123925;254253
6065772;1500429138;472.207;478.648;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;4a46452e45d04f04ad5482383cc9b58e;20141120140946;20220105162425;253650
1554;1500673586;38.127;64.714;Bridge;;;ONTARIO ROAD NETWORK;4bff764c1d15428c9ed7b6af9cde2b21;20171103144246;20191011150817;221592
4503469;4503389;28.823;96.934;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;26ce8883fd95440ebb47d3787f646f91;20120712105536;20220105162425;253634
1852;1500698154;577.870;587.354;Bridge;;;ONTARIO ROAD NETWORK;5b3fbab9a17646b68e6cd8f679421f4d;20190709151920;20191011150817;221617
8802;1500636509;680.011;733.854;Bridge;;;;c16f50e6b6324bf784988e32dfd4b0a7;20220104152346;20220105162425;253635
3528583;1500487678;1073.803;1160.936;Bridge;;;;98ac280dfbab4a1ba15a7b6e84a94565;20190114143127;20220105162425;253636
5907973;1500641022;16.026;33.234;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;6472366da1f948a8a6c0e32d79f57307;20140401140206;20220105162425;253637
8757;1500397330;1036.280;1056.885;Bridge;;;;e1baf170821d42d58d2dacb2621f5a9a;20220105082341;20220105162425;253638
10895;1500567173;299.045;59.473;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;06531ee6224b4284b2741c680d6c54e8;20220104090704;20220105162425;253640
8706;1500718379;575.685;615.382;Bridge;;;;8b144e1c9b2b4badaab28cdbe9336f58;20211229105347;20220105162425;253641
4507689;1500412938;104.731;125.387;Bridge;;;MINISTRY OF TRANSPORTATION;20f60e08cb634f17aac5138e5bd27ab5;20190524132820;20220105162425;253642
7664799;7664666;1368.926;1461.867;Bridge;;;ONTARIO ROAD NETWORK;36a5acea316146cfb78407b8b7f1a8c1;20211026120454;20220105162425;253643
7216;1500451297;250.667;274.011;Bridge;;;;e912453fcad04f3ab3d4b7d695ed46eb;20120503103528;20220105162425;253644
8705;1500718379;1768.309;1796.467;Bridge;;;;8ee61c3dda444be1b2819d6a837de36d;20211229105347;20220105162425;253646
7664684;7664679;103.876;124.396;Bridge;;;MINISTRY OF TRANSPORTATION;ba25756cf2a84152992ee47a298e62ee;20211022140913;20220105162425;253647
8131;1500542951;0.000;199.435;Bridge;;;;0b08207c3fdc4613b50e4a68a5de6dd7;20100920090908;20191011150817;221685
724;1500541120;91.335;150.618;Bridge;;;ONTARIO ROAD NETWORK;2464569ab43c4d30812607b5f2a0fec3;20171101105403;20191011150817;221687
10894;1500567173;1120.543;1163.148;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;cf21c3bcf88b4b218d711b5730a87cfa;20220104090704;20220105162425;253648
2809408;1510939277;62.000;85.000;Bridge;;;;11c2253112b047e0bce2eb2a242a5df2;20091123163927;20220105162425;253649
2700768;6393292;617.000;664.000;Bridge;;;;237ed3af08f94ab7ba19af03d034b4f7;20160509092615;20211118090425;253348
3498621;1510658753;1199.766;1274.766;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;d6339ff7587f4a9fb1e0ca811493f091;20120731111350;20211118090425;253349
7675479;7674062;283.253;199.851;Bridge;;;ONTARIO ROAD NETWORK;0e7bb1c67f1d491ba026f90848a9e8bf;20211102145621;20211118090425;253350
7681807;7496634;201.264;226.087;Bridge;;;ONTARIO ROAD NETWORK;28138a5958bf4942b73af2675d566b63;20211116145045;20211118090425;253351
2700658;1510573536;1355.120;1370.349;Bridge;;;;3c8d7ed3115f4613903d9d3860a49e3c;20100909155319;20211118090425;253334
6064328;1500348577;389.052;400.890;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;123c336b1dc246c8b421371fafd6ba46;20220531090903;20220601133425;254515
9093;1500406268;950.542;1081.191;Bridge;;;;7e549c7fe19e433fa4343fb4c844baf9;20090514130151;20220601133425;254516
8562;1500457958;167.339;311.681;Bridge;;;;4a88fd6903c84f8197dd5e7e62c2f3eb;20130528115211;20220601133425;254517
2899;1500429393;24.699;55.586;Bridge;;;;908d69a43b91497983e59fb079baed09;20190221131342;20220601133425;254518
4058420;1500597654;275.736;307.448;Bridge;SCOTCH RIVER (WEST BRANCH);;MINISTRY OF TRANSPORTATION;3601709c6bc7410fafdf1b5afabb7ceb;20171122110838;20191011150817;221739
5488822;5488816;89.201;104.070;Bridge;;;;f797c1e668094d9db40b9494517279cf;20130212095659;20220601133425;254519
4060583;1500478247;0.000;42.231;Bridge;;;MINISTRY OF TRANSPORTATION;49435e971dbb4942a85a32c4bd18f007;20171122110840;20191011150817;221741
2233;1500570786;15.647;44.258;Bridge;;;;6dad6182ae6d4e3eafee5b0b89b2fee4;20120127153927;20220601133425;254520
4626;1500578560;2060.878;2035.857;Bridge;;;;ed8198f95a9e4722a3224af420613e3b;20090514130151;20220601133425;254521
6784753;6784752;1012.972;1042.972;Bridge;;;ONTARIO ROAD NETWORK;fd5cf07a61be425a8a452267cfe95cff;20220531155629;20220601133425;254522
5052;1500341801;287.460;432.206;Bridge;;;;5666586b3f1a43afb868e61bcc6d0d58;20140219152911;20220601133425;254523
6064313;1500348577;138.164;129.673;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;3fc4cba982e041438d5cd79689c21b8e;20220531090903;20220601133425;254524
2700700;1510572785;1090.205;1100.207;Bridge;;;;d35ef77d6f3044c180acb7bcc3618c78;20160330130618;20211118090425;253335
2700701;1510573536;441.035;464.462;Bridge;;;;0695a1c779cd481c9fac47d8a6500268;20100909155319;20211118090425;253336
11017;1500331636;332.339;2889.660;Bridge;;;MINISTRY OF TRANSPORTATION;37be7aa8e12448deba6e25667ec346d8;20111222104422;20211118090425;253337
5188;1500682134;26.194;199.912;Bridge;;;;32452edb81bd4e24bd31fde7c4ee52be;20120628142243;20191011150817;221778
2700741;1506981805;188.339;208.707;Bridge;;;;127bebf14a114896b646b0ddaf1ac416;20211101134041;20211118090425;253338
3239;1500340456;202.089;263.680;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;a254d2f2abc04ffea073e0de235837dd;20110825110809;20211118090425;253339
6065798;1506748455;309.038;317.451;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;460db562773741b789b71b4ce2699fed;20191001142802;20211118090425;253340
38;1500691359;538.005;2702.272;Bridge;;;MINISTRY OF TRANSPORTATION;021a3eb9c7c5447faf25c8c89096d517;20121115130346;20211118090425;253341
6066972;1508591142;260.455;245.826;Tunnel;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;4dff2465356e435488e829897acb1858;20211116092220;20211118090425;253342
7675478;7674274;167.672;83.331;Bridge;;;ONTARIO ROAD NETWORK;f3e336a54a784690b29375579511e3ac;20211102145546;20211118090425;253343
11148;1508621832;38.680;121.800;Bridge;;;;1dfabdc63b6a45b2a1630743a93baa79;20160506163104;20211118090425;253344
5353;1500734469;184.429;302.386;Bridge;;;;83ae23492ed54f95a3602448eaad7d7c;20100812113213;20211118090425;253345
8186;6670528;81.905;130.082;Bridge;;;;0bd23c7e8a6e4ae0a75465ded74025b3;20170725125340;20191011150817;221843
2700704;1510574457;2080.749;2096.871;Bridge;;;;fd89db5ac751497b985f4cbd8fddba3f;20211116105320;20211118090425;253347
7726196;7725948;393.811;429.394;Bridge;;;ONTARIO ROAD NETWORK;4cc2944ed6064e95a80b8b626e606c87;20220204142714;20220210120925;253916
7726163;7725363;28.000;110.000;Bridge;;;ONTARIO ROAD NETWORK;c30dc741a4fc4b629c2b277c8d493e01;20220204133105;20220210120925;253919
10079;1508268096;87.065;96.082;Bridge;;;;6d174cee6a974b209527fd4d66781189;20220204095004;20220210120925;253920
7726161;7725399;111.705;27.705;Bridge;;;ONTARIO ROAD NETWORK;dbfdf347936743a1b32fdf1bf96184bb;20220207095818;20220210120925;253921
7726189;7725899;387.586;423.442;Bridge;;;ONTARIO ROAD NETWORK;7ba6b0b57ac44e1e9eb41d64084a5329;20220204142539;20220210120925;253924
10002;1500369030;141.403;154.208;Bridge;;;;f16cba46d45645e98ed90d041a4080b2;20220204120407;20220210120925;253925
10908;7209127;189.786;245.846;Bridge;;;;d28fed0e11c941858f530133fbddc721;20190117111337;20220210120925;253926
7726176;7725579;140.338;271.108;Bridge;;;ONTARIO ROAD NETWORK;6e373cadc9094246a5785650f4bf1c1f;20220204135740;20220210120925;253927
10020;5885445;1833.062;1850.100;Bridge;;;;95139fa863d94de7a615720dd8943d2e;20220203085815;20220210120925;253929
7726179;7725637;193.848;304.756;Bridge;;;ONTARIO ROAD NETWORK;fdd68bc44703407e9b72acb1b4992857;20220204140047;20220210120925;253930
10071;1508263571;114.605;54.606;Bridge;;;;211470ddfd48467a8eb97d0963f30a57;20220204144624;20220210120925;253932
7726162;7725299;248.000;333.962;Bridge;;;ONTARIO ROAD NETWORK;dbfdf347936743a1b32fdf1bf96184bb;20220207151414;20220210120925;253933
12774;1509829526;114.392;276.494;Bridge;;;;4db51087373749e1bd3903ce58eb5d15;20140722101056;20191011150817;221897
5937;1500335583;115.176;409.099;Bridge;;;;24c6a06a32a34cfc9764935b3bbdf973;20090514130151;20191011150817;221932
6745;1500440920;897.172;915.205;Bridge;;;;fd89a8cf55c84be0967d6b36a30510c4;20100427124930;20191011150817;221960
9859;1500692533;98.202;184.727;Bridge;;;ONTARIO ROAD NETWORK;d99c041d27e145dcbe7b1122bb1109dd;20171101105358;20191011150817;221968
